account;category;currency;amount;ref_currency_amount;type;payment_type;payment_type_local;note;date;gps_latitude;gps_longitude;gps_accuracy_in_meters;warranty_in_month;transfer;payee;labels;envelope_id;custom_category
Raiffeisenbank;Clothes & shoes;BGN;-75.98;-75.98;Expenses;DEBIT_CARD;Debit card;;2020-06-14 20:30:40;;;;0;false;;;2000;false
Revolut;Vape;BGN;-48.00;-48.00;Expenses;DEBIT_CARD;Debit card;;2020-06-14 20:30:00;;;;0;false;;;6011;true
Revolut;Clothes & shoes;BGN;-130.14;-130.14;Expenses;DEBIT_CARD;Debit card;;2020-06-14 20:00:42;;;;0;false;;;2000;false
Raiffeisenbank;TRANSFER;BGN;-200.00;-200.00;Expenses;DEBIT_CARD;Debit card;;2020-06-14 19:45:21;;;;0;true;;;20001;false
Revolut;TRANSFER;BGN;200.00;200.00;Income;DEBIT_CARD;Debit card;;2020-06-14 19:45:21;;;;0;true;;;20001;false
Revolut;Restaurant, fast-food;BGN;-5.60;-5.60;Expenses;DEBIT_CARD;Debit card;;2020-06-13 21:00:49;;;;0;false;;;1001;false
Revolut;Groceries;BGN;-19.37;-19.37;Expenses;DEBIT_CARD;Debit card;;2020-06-13 20:30:26;;;;0;false;;;1000;false
Cash;Bar, cafe;BGN;-20.00;-20.00;Expenses;CASH;Cash;;2020-06-13 12:00:33;;;;0;false;;;1002;false
Revolut;Shopping;BGN;-19.89;-19.89;Expenses;DEBIT_CARD;Debit card;Джъмбо;2020-06-12 21:00:19;;;;0;false;;;2010;false
Raiffeisenbank;Energy, utilities;BGN;-22.48;-22.48;Expenses;CASH;Cash;Вода;2020-06-12 14:00:00;;;;0;false;;;3002;false
Revolut;Groceries;BGN;-28.94;-28.94;Expenses;DEBIT_CARD;Debit card;;2020-06-12 12:00:00;;;;0;false;;;1000;false
Cash;GF;BGN;-20.00;-20.00;Expenses;DEBIT_CARD;Debit card;;2020-06-12 11:15:34;;;;0;false;;;2007;true
Revolut;GF;BGN;-5.00;-5.00;Expenses;DEBIT_CARD;Debit card;;2020-06-11 18:45:00;;;;0;false;;;2007;true
